Ref_Date,GEO,Geographical classification,INDEX,Vector,Coordinate,Value
2001/07,Canada,,Total (house and land),v53600422,1.1,70.1
2001/08,Canada,,Total (house and land),v53600422,1.1,70.2
2001/09,Canada,,Total (house and land),v53600422,1.1,70.4
2001/10,Canada,,Total (house and land),v53600422,1.1,70.4
2001/11,Canada,,Total (house and land),v53600422,1.1,70.6
2001/12,Canada,,Total (house and land),v53600422,1.1,70.8
2002/01,Canada,,Total (house and land),v53600422,1.1,71.0
2002/02,Canada,,Total (house and land),v53600422,1.1,71.4
2002/03,Canada,,Total (house and land),v53600422,1.1,71.7
2002/04,Canada,,Total (house and land),v53600422,1.1,72.1
2002/05,Canada,,Total (house and land),v53600422,1.1,72.6
2002/06,Canada,,Total (house and land),v53600422,1.1,72.7
2002/07,Canada,,Total (house and land),v53600422,1.1,72.9
2002/08,Canada,,Total (house and land),v53600422,1.1,73.2
2002/09,Canada,,Total (house and land),v53600422,1.1,73.3
2002/10,Canada,,Total (house and land),v53600422,1.1,73.7
2002/11,Canada,,Total (house and land),v53600422,1.1,74.2
2002/12,Canada,,Total (house and land),v53600422,1.1,74.4
2003/01,Canada,,Total (house and land),v53600422,1.1,74.6
2003/02,Canada,,Total (house and land),v53600422,1.1,75.0
2003/03,Canada,,Total (house and land),v53600422,1.1,75.1
2003/04,Canada,,Total (house and land),v53600422,1.1,75.4
2003/05,Canada,,Total (house and land),v53600422,1.1,75.8
2003/06,Canada,,Total (house and land),v53600422,1.1,76.0
2003/07,Canada,,Total (house and land),v53600422,1.1,76.3
2003/08,Canada,,Total (house and land),v53600422,1.1,76.7
2003/09,Canada,,Total (house and land),v53600422,1.1,77.0
2003/10,Canada,,Total (house and land),v53600422,1.1,77.4
2003/11,Canada,,Total (house and land),v53600422,1.1,77.9
2003/12,Canada,,Total (house and land),v53600422,1.1,78.1
2004/01,Canada,,Total (house and land),v53600422,1.1,78.4
2004/02,Canada,,Total (house and land),v53600422,1.1,78.7
2004/03,Canada,,Total (house and land),v53600422,1.1,78.9
2004/04,Canada,,Total (house and land),v53600422,1.1,79.6
2004/05,Canada,,Total (house and land),v53600422,1.1,80.2
2004/06,Canada,,Total (house and land),v53600422,1.1,80.8
2004/07,Canada,,Total (house and land),v53600422,1.1,80.9
2004/08,Canada,,Total (house and land),v53600422,1.1,81.3
2004/09,Canada,,Total (house and land),v53600422,1.1,81.5
